CustomerKey,CustomerAlternateKey,FirstName,MiddleInitial,LastName,MaritalStatus,Gender,DateOfBirth,PhoneNumber,StreetAddress,City,StateProvinceCode,StateProvinceName,CountryCode,CountryName,PostCode 
11013,AW00011013,Ian,M,Jenkins,M,M,1968-08-06,817-555-0185,7902 Hudson Ave.,Lebanon,OR,Oregon,US,United States,97355
11014,AW00011014,Sydney,,Bennett,S,F,1968-05-09,431-555-0156,9011 Tank Drive,Redmond,WA,Washington,US,United States,98052
11015,AW00011015,Chloe,,Young,S,F,1979-02-27,208-555-0142,244 Willow Pass Road,Burbank,CA,California,US,United States,91502
11016,AW00011016,Wyatt,L,Hill,M,M,1979-04-28,135-555-0171,9666 Northridge Ct.,Imperial Beach,CA,California,US,United States,91932
11017,AW00011017,Shannon,,Wang,S,F,1944-06-26,1 (11) 500 555-0195,7330 Saddlehill Lane,Sunbury,VIC,Victoria,AU,Australia,3429
11018,AW00011018,Clarence,D,Rai,S,M,1944-10-09,1 (11) 500 555-0137,244 Rivewview,Bendigo,VIC,Victoria,AU,Australia,3550
11019,AW00011019,Luke,L,Lal,S,M,1978-03-07,262-555-0112,7832 Landing Dr,Langley,BC,British Columbia,CA,Canada,V3A 4R2
11020,AW00011020,Jordan,C,King,S,M,1978-09-20,550-555-0163,7156 Rose Dr.,Metchosin,BC,British Columbia,CA,Canada,V9
11021,AW00011021,Destiny,,Wilson,S,F,1978-09-03,622-555-0158,8148 W. Lake Dr.,Beaverton,OR,Oregon,US,United States,97005
11022,AW00011022,Ethan,G,Zhang,M,M,1978-10-12,589-555-0185,1769 Nicholas Drive,Bellingham,WA,Washington,US,United States,98225
11023,AW00011023,Seth,M,Edwards,M,M,1978-10-11,452-555-0188,4499 Valley Crest,Bellflower,CA,California,US,United States,90706
11024,AW00011024,Russell,,Xie,M,M,1978-09-17,746-555-0186,8734 Oxford Place,Concord,CA,California,US,United States,94519
11025,AW00011025,Alejandro,,Beck,M,M,1945-12-23,1 (11) 500 555-0178,2596 Franklin Canyon Road,Hawthorne,QLD,Queensland,AU,Australia,4171
11026,AW00011026,Harold,,Sai,S,M,1946-04-03,1 (11) 500 555-0131,8211 Leeds Ct.,Goulburn,NSW,New South Wales,AU,Australia,2580
11027,AW00011027,Jessie,R,Zhao,M,M,1946-12-07,1 (11) 500 555-0184,213 Valencia Place,Warrnambool,VIC,Victoria,AU,Australia,3280
11028,AW00011028,Jill,,Jimenez,M,F,1946-04-11,1 (11) 500 555-0116,9111 Rose Ann Ave,St. Leonards,NSW,New South Wales,AU,Australia,2065
11029,AW00011029,Jimmy,L,Moreno,M,M,1946-12-21,1 (11) 500 555-0146,6385 Mark Twain,Bendigo,VIC,Victoria,AU,Australia,3550
11030,AW00011030,Bethany,G,Yuan,M,F,1947-02-22,1 (11) 500 555-0182,636 Vine Hill Way,Cloverdale,SA,South Australia,AU,Australia,6105
11031,AW00011031,Theresa,G,Ramos,M,F,1947-08-22,1 (11) 500 555-0195,6465 Detroit Ave.,Matraville,NSW,New South Wales,AU,Australia,2036
11032,AW00011032,Denise,,Stone,M,F,1947-06-11,1 (11) 500 555-0169,626 Bentley Street,Melbourne,VIC,Victoria,AU,Australia,3000
11033,AW00011033,Jaime,,Nath,M,M,1947-09-23,1 (11) 500 555-0137,5927 Rainbow Dr,Milsons Point,NSW,New South Wales,AU,Australia,2061
11034,AW00011034,Ebony,,Gonzalez,M,F,1947-06-19,1 (11) 500 555-0136,5167 Condor Place,North Sydney,NSW,New South Wales,AU,Australia,2055
11035,AW00011035,Wendy,,Dominguez,M,F,1948-02-24,1 (11) 500 555-0177,1873 Mt. Whitney Dr,Cranbourne,VIC,Victoria,AU,Australia,3977
11036,AW00011036,Jennifer,C,Russell,M,F,1978-12-18,115-555-0183,3981 Augustine Drive,National City,CA,California,US,United States,91950
11037,AW00011037,Chloe,M,Garcia,S,F,1977-11-27,229-555-0112,8915 Woodside Way,Cliffside,BC,British Columbia,CA,Canada,V8Y 1L1
11038,AW00011038,Diana,F,Hernandez,M,F,1948-03-23,1 (11) 500 555-0114,8357 Sandy Cove Lane,Lavender Bay,NSW,New South Wales,AU,Australia,2060
11039,AW00011039,Marc,J,Martin,M,M,1948-12-17,1 (11) 500 555-0183,9353 Creekside Dr.,Wollongong,NSW,New South Wales,AU,Australia,2500
11040,AW00011040,Jesse,,Murphy,M,M,1977-08-01,961-555-0176,3350 Kingswood Circle,Tacoma,WA,Washington,US,United States,98403
11041,AW00011041,Amanda,M,Carter,M,F,1977-10-16,295-555-0145,5826 Escobar,Glendale,CA,California,US,United States,91203
11042,AW00011042,Megan,J,Sanchez,M,F,1977-06-13,404-555-0199,1397 Paraiso Ct.,Los Angeles,CA,California,US,United States,90012
11043,AW00011043,Nathan,M,Simmons,M,M,1976-02-24,296-555-0181,1170 Shaw Rd,Glendale,CA,California,US,United States,91203
11044,AW00011044,Adam,L,Flores,M,M,1949-05-24,1 (11) 500 555-0163,6935 Candle Dr,Hervey Bay,QLD,Queensland,AU,Australia,4655
11045,AW00011045,Leonard,G,Nara,S,M,1950-05-19,1 (11) 500 555-0151,7466 La Vista Ave.,Matraville,NSW,New South Wales,AU,Australia,2036
11046,AW00011046,Christine,,Yuan,M,F,1950-03-22,1 (11) 500 555-0113,2356 Orange St,Lavender Bay,NSW,New South Wales,AU,Australia,2060
11047,AW00011047,Jaclyn,D,Lu,M,F,1950-02-27,1 (11) 500 555-0137,2812 Mazatlan,Geelong,VIC,Victoria,AU,Australia,3220
11048,AW00011048,Jeremy,,Powell,M,M,1950-11-22,1 (11) 500 555-0183,1803 Potomac Dr.,Sunbury,VIC,Victoria,AU,Australia,3429
11049,AW00011049,Carol,C,Rai,S,F,1980-07-18,654-555-0180,6064 Madrid,Chula Vista,CA,California,US,United States,91910
11050,AW00011050,Alan,,Zheng,M,M,1951-09-07,1 (11) 500 555-0135,2741 Gainborough Dr.,Hobart,TAS,Tasmania,AU,Australia,7001
11051,AW00011051,Daniel,,Johnson,S,M,1951-08-04,1 (11) 500 555-0155,8085 Sunnyvale Avenue,Caloundra,QLD,Queensland,AU,Australia,4551
11052,AW00011052,Heidi,,Lopez,S,F,1951-08-07,1 (11) 500 555-0168,2514 Via Cordona,Matraville,NSW,New South Wales,AU,Australia,2036
11053,AW00011053,Ana,E,Price,M,F,1980-08-20,859-555-0113,1660 Stonyhill Circle,San Diego,CA,California,US,United States,92102
11054,AW00011054,Deanna,,Munoz,M,F,1952-03-10,1 (11) 500 555-0192,5825 B Way,Geelong,VIC,Victoria,AU,Australia,3220
11055,AW00011055,Gilbert,,Raje,M,M,1952-03-05,1 (11) 500 555-0129,8811 The Trees Dr.,East Brisbane,QLD,Queensland,AU,Australia,4169
11056,AW00011056,Michele,L,Nath,M,F,1953-04-03,1 (11) 500 555-0178,5464 Janin Pl.,Newcastle,NSW,New South Wales,AU,Australia,2300
11057,AW00011057,Carl,J,Andersen,M,M,1953-10-12,1 (11) 500 555-0181,6930 Lake Nadine Place,Lane Cove,NSW,New South Wales,AU,Australia,1597
11058,AW00011058,Marc,,Diaz,M,M,1954-04-27,1 (11) 500 555-0149,6645 Sinaloa,Findon,SA,South Australia,AU,Australia,5023
11059,AW00011059,Ashlee,J,Andersen,S,F,1954-04-01,1 (11) 500 555-0112,8255 Highland Road,Townsville,QLD,Queensland,AU,Australia,4810
11060,AW00011060,Jon,L,Zhou,M,M,1954-03-17,1 (11) 500 555-0174,6574 Hemlock Ave.,Warrnambool,VIC,Victoria,AU,Australia,3280
11061,AW00011061,Todd,M,Gao,M,M,1954-02-27,1 (11) 500 555-0191,8808 Geneva Ave,Gold Coast,QLD,Queensland,AU,Australia,4217
11062,AW00011062,Noah,D,Powell,M,M,1975-09-02,767-555-0113,9794 Marion Ct,Portland,OR,Oregon,US,United States,97205
11063,AW00011063,Angela,,Murphy,S,F,1975-04-07,451-555-0162,4927 Virgil Street,Redmond,WA,Washington,US,United States,98052
11064,AW00011064,Chase,,Reed,M,M,1975-12-07,892-555-0184,2721 Alexander Pl.,Downey,CA,California,US,United States,90241
11065,AW00011065,Jessica,,Henderson,M,F,1973-10-09,278-555-0186,9343 Ironwood Way,La Jolla,CA,California,US,United States,92806
11066,AW00011066,Grace,T,Butler,M,F,1973-11-27,712-555-0141,4739 Garden Ave.,Lebanon,OR,Oregon,US,United States,97355
11067,AW00011067,Caleb,F,Carter,S,M,1976-09-25,944-555-0167,9563 Pennsylvania Blvd.,Port Orchard,WA,Washington,US,United States,98366
11068,AW00011068,Tiffany,,Liang,S,F,1955-09-23,1 (11) 500 555-0177,3608 Sinclair Avenue,Warrnambool,VIC,Victoria,AU,Australia,3280
11069,AW00011069,Carolyn,,Navarro,S,F,1955-09-21,1 (11) 500 555-0145,4606 Springwood Court,Gold Coast,QLD,Queensland,AU,Australia,4217
11070,AW00011070,Willie,T,Raji,M,M,1955-04-05,1 (11) 500 555-0151,6260 Vernal Drive,Sunbury,VIC,Victoria,AU,Australia,3429
11071,AW00011071,Linda,,Serrano,S,F,1955-06-26,1 (11) 500 555-0130,9808 Shaw Rd.,Hawthorne,QLD,Queensland,AU,Australia,4171
11072,AW00011072,Casey,,Luo,S,F,1955-02-06,1 (11) 500 555-0125,9513 Roslyn Drive,St. Leonards,NSW,New South Wales,AU,Australia,2065
11073,AW00011073,Amy,,Ye,S,F,1956-08-14,1 (11) 500 555-0185,2262 Kirkwood Ct.,Springwood,NSW,New South Wales,AU,Australia,2777
11074,AW00011074,Levi,A,Arun,S,M,1956-08-28,1 (11) 500 555-0127,4661 Bluetail,Cloverdale,SA,South Australia,AU,Australia,6105
11075,AW00011075,Felicia,L,Jimenez,S,F,1957-11-16,1 (11) 500 555-0165,786 Eastgate Ave,Bendigo,VIC,Victoria,AU,Australia,3550
11076,AW00011076,Blake,,Anderson,S,M,1957-07-13,1 (11) 500 555-0113,5436 Clear,Wollongong,NSW,New South Wales,AU,Australia,2500
11077,AW00011077,Leah,,Ye,S,F,1957-09-19,1 (11) 500 555-0154,1291 Arguello Blvd.,Melton,VIC,Victoria,AU,Australia,3337
11078,AW00011078,Gina,E,Martin,S,F,1974-01-10,196-555-0114,1349 Sol St.,Cliffside,BC,British Columbia,CA,Canada,V8Y 1L1
11079,AW00011079,Donald,,Gonzalez,S,M,1959-03-11,1 (11) 500 555-0137,4236 Malibu Place,Geelong,VIC,Victoria,AU,Australia,3220
11080,AW00011080,Damien,,Chander,M,M,1959-07-17,1 (11) 500 555-0111,9941 Stonehedge Dr.,Perth,SA,South Australia,AU,Australia,6006
11081,AW00011081,Savannah,C,Baker,M,F,1966-07-24,478-555-0117,1210 Trafalgar Circle,Concord,CA,California,US,United States,94519
11082,AW00011082,Angela,L,Butler,S,F,1966-08-04,579-555-0195,6040 Listing Ct,Fremont,CA,California,US,United States,94536
11083,AW00011083,Alyssa,F,Cox,M,F,1966-03-15,561-555-0140,867 La Orinda Place,Lincoln Acres,CA,California,US,United States,91950
11084,AW00011084,Lucas,,Phillips,S,M,1957-09-12,863-555-0172,8668 St. Celestine Court,Lebanon,OR,Oregon,US,United States,97355
11085,AW00011085,Emily,,Johnson,S,F,1957-07-19,850-555-0184,7926 Stephanie Way,Newport Beach,CA,California,US,United States,92625
11086,AW00011086,Ryan,,Brown,M,M,1957-12-23,539-555-0198,2939 Wesley Ct.,Santa Monica,CA,California,US,United States,90401
11087,AW00011087,Tamara,L,Liang,M,F,1957-10-03,178-555-0152,3791 Rossmor Parkway,Chula Vista,CA,California,US,United States,91910
11088,AW00011088,Hunter,,Davis,M,M,1957-11-25,612-555-0141,4308 Sand Pointe Lane,San Diego,CA,California,US,United States,92102
11089,AW00011089,Abigail,M,Price,S,F,1957-02-05,532-555-0117,2685 Blackburn Ct,Long Beach,CA,California,US,United States,90802
11090,AW00011090,Trevor,,Bryant,S,M,1957-12-17,853-555-0174,5781 Sharon Dr.,Los Angeles,CA,California,US,United States,90012
11091,AW00011091,Dalton,,Perez,M,M,1957-04-04,559-555-0115,6083 San Jose,Haney,BC,British Columbia,CA,Canada,V2W 1W2
11092,AW00011092,Cheryl,A,Diaz,M,F,1967-05-06,1 (11) 500 555-0192,7297 Kaywood Drive,East Brisbane,QLD,Queensland,AU,Australia,4169
11093,AW00011093,Aimee,A,He,M,F,1967-09-10,1 (11) 500 555-0161,1833 Olympic Drive,Wollongong,NSW,New South Wales,AU,Australia,2500
11094,AW00011094,Cedric,W,Ma,S,M,1962-04-01,1 (11) 500 555-0115,3407 Oak Brook Place,Cranbourne,VIC,Victoria,AU,Australia,3977
11095,AW00011095,Chad,,Kumar,S,M,1962-09-01,1 (11) 500 555-0151,1681 Lighthouse Way,Port Macquarie,NSW,New South Wales,AU,Australia,2444
11096,AW00011096,Andrés,,Anand,M,M,1962-08-10,1 (11) 500 555-0184,5423 Los Gatos Ct.,North Sydney,NSW,New South Wales,AU,Australia,2055
11097,AW00011097,Edwin,R,Nara,M,M,1961-10-27,1 (11) 500 555-0112,719 William Way,Warrnambool,VIC,Victoria,AU,Australia,3280
11098,AW00011098,Mallory,S,Rubio,S,F,1961-05-01,1 (11) 500 555-0157,6452 Harris Circle,Rhodes,NSW,New South Wales,AU,Australia,2138
11099,AW00011099,Adam,,Ross,M,M,1961-03-08,1 (11) 500 555-0186,4378 Westminster Place,Port Macquarie,NSW,New South Wales,AU,Australia,2444
11100,AW00011100,Latasha,L,Navarro,S,F,1960-09-15,1 (11) 500 555-0123,6954 Ranch Road,Cloverdale,SA,South Australia,AU,Australia,6105
11101,AW00011101,Abby,L,Sai,S,F,1965-05-08,1 (11) 500 555-0174,7074 N. Spoonwood Court,Cranbourne,VIC,Victoria,AU,Australia,3977
11102,AW00011102,Julia,L,Nelson,S,F,1965-04-21,1 (11) 500 555-0124,2196 Coat Ct.,Sydney,NSW,New South Wales,AU,Australia,1002
11103,AW00011103,Cassie,,Chande,S,F,1964-10-17,1 (11) 500 555-0166,9448 San Marino Ct.,Darlinghurst,NSW,New South Wales,AU,Australia,2010
11104,AW00011104,Edgar,A,Sara,M,M,1964-03-11,1 (11) 500 555-0125,6127 Lilly Lane,Gold Coast,QLD,Queensland,AU,Australia,4217
11105,AW00011105,Candace,,Fernandez,S,F,1964-12-28,1 (11) 500 555-0162,5029 Blue Ridge,Matraville,NSW,New South Wales,AU,Australia,2036
11106,AW00011106,Jessie,,Liu,S,M,1964-09-11,1 (11) 500 555-0163,3063 Blue Jay Drive,Warrnambool,VIC,Victoria,AU,Australia,3280
11107,AW00011107,Bianca,,Lin,M,F,1959-09-09,1 (11) 500 555-0121,7530 Eola,St. Leonards,NSW,New South Wales,AU,Australia,2065
11108,AW00011108,Kari,C,Alvarez,S,F,1963-07-14,1 (11) 500 555-0169,9178 Thornhill Place,Port Macquarie,NSW,New South Wales,AU,Australia,2444
11109,AW00011109,Ruben,D,Kapoor,S,M,1963-11-05,1 (11) 500 555-0132,1984 Glendale Circle,South Melbourne,VIC,Victoria,AU,Australia,3205
11110,AW00011110,Curtis,,Yang,M,M,1962-06-06,1 (11) 500 555-0127,4052 Mt. Wilson Way,Darlinghurst,NSW,New South Wales,AU,Australia,2010
11111,AW00011111,Meredith,T,Gutierrez,M,F,1962-02-23,1 (11) 500 555-0179,7610 Northridge Ct.,Geelong,VIC,Victoria,AU,Australia,3220
11112,AW00011112,Crystal,C,Wang,M,F,1962-09-09,1 (11) 500 555-0134,2773 Kirkwood Dr,Hervey Bay,QLD,Queensland,AU,Australia,4655
11113,AW00011113,Micheal,A,Blanco,M,M,1962-02-21,1 (11) 500 555-0131,596 Marfargoa Drive,Perth,SA,South Australia,AU,Australia,6006
11114,AW00011114,Leslie,C,Moreno,S,F,1962-05-28,1 (11) 500 555-0115,7941 Cristobal,Rhodes,NSW,New South Wales,AU,Australia,2138
11115,AW00011115,Alvin,D,Cai,M,M,1962-02-12,1 (11) 500 555-0191,7759 Azalea Avenue,St. Leonards,NSW,New South Wales,AU,Australia,2065
11116,AW00011116,Clinton,E,Carlson,M,M,1962-10-07,1 (11) 500 555-0184,7943 Cunha Ct.,Sydney,NSW,New South Wales,AU,Australia,1002
11117,AW00011117,April,,Deng,M,F,1961-02-21,1 (11) 500 555-0182,485 Ash Lane,Matraville,NSW,New South Wales,AU,Australia,2036
11118,AW00011118,Alvin,M,Zeng,S,M,1957-07-03,1 (11) 500 555-0174,3853 Wildcat Circle,Lavender Bay,NSW,New South Wales,AU,Australia,2060
11119,AW00011119,Evan,V,James,S,M,1935-04-10,1 (11) 500 555-0187,4157 Sierra Ridge,Port Macquarie,NSW,New South Wales,AU,Australia,2444
11120,AW00011120,Beth,H,Jiménez,S,F,1936-08-09,1 (11) 500 555-0164,7401 Las Palmas,Sydney,NSW,New South Wales,AU,Australia,1002
11121,AW00011121,Orlando,,Suarez,M,M,1960-11-18,1 (11) 500 555-0198,7743 Hames Dr,Newcastle,NSW,New South Wales,AU,Australia,2300
11122,AW00011122,Byron,,Vazquez,M,M,1960-04-02,1 (11) 500 555-0136,3187 Hackamore Lane,North Sydney,NSW,New South Wales,AU,Australia,2055
11123,AW00011123,Philip,A,Alvarez,M,M,1960-06-20,1 (11) 500 555-0191,2775 Mt. Olivet Pl.,Sunbury,VIC,Victoria,AU,Australia,3429
11124,AW00011124,Ross,F,Jordan,S,M,1957-07-27,1 (11) 500 555-0126,6973 Dublin Court,Warrnambool,VIC,Victoria,AU,Australia,3280
11125,AW00011125,Dana,J,Navarro,S,F,1956-04-08,1 (11) 500 555-0172,8481 Zartop Street,Seaford,VIC,Victoria,AU,Australia,3198
11126,AW00011126,Shaun,,Carson,M,M,1949-04-07,1 (11) 500 555-0155,57 Wolf Way,North Ryde,NSW,New South Wales,AU,Australia,2113
11127,AW00011127,Jan,,Edwards,M,F,1975-10-21,111-555-0118,9409 The Alameda,San Gabriel,CA,California,US,United States,91776
11128,AW00011128,Samantha,,Long,M,F,1975-12-05,175-555-0139,1606 Alderwood Lane,Renton,WA,Washington,US,United States,98055
11129,AW00011129,Julia,M,Wright,S,F,1975-08-05,456-555-0174,7397 Central Blvd.,Sedro Woolley,WA,Washington,US,United States,98284
11130,AW00011130,Caroline,L,Russell,M,F,1980-01-06,424-555-0137,3884 Bates Court,Lebanon,OR,Oregon,US,United States,97355
11131,AW00011131,Amanda,,Rivera,M,F,1980-03-12,918-555-0126,9573 Royal Oak Rd.,Haney,BC,British Columbia,CA,Canada,V2W 1W2
11132,AW00011132,Melissa,E,Richardson,S,F,1980-10-26,928-555-0118,6832 Fruitwood Dr,Langford,BC,British Columbia,CA,Canada,V9
11133,AW00011133,Angela,,Griffin,S,F,1980-09-08,598-555-0174,3828 Baltic Sea Ct,Lake Oswego,OR,Oregon,US,United States,97034
11134,AW00011134,Larry,D,Townsend,S,M,1946-02-26,1 (11) 500 555-0130,7034 Carson,Perth,SA,South Australia,AU,Australia,6006
11135,AW00011135,Marcus,L,Harris,S,M,1979-11-03,442-555-0119,9068 Quiet Place Drive,Burlingame,CA,California,US,United States,94010
11136,AW00011136,Brianna,D,Morgan,S,F,1978-10-26,954-555-0117,9005 Eagle Ct.,Metchosin,BC,British Columbia,CA,Canada,V9
11137,AW00011137,Jasmine,A,Taylor,M,F,1978-07-20,557-555-0146,2457 Matterhorn Court,Spokane,WA,Washington,US,United States,99202
11138,AW00011138,Lauren,,Davis,M,F,1978-09-15,832-555-0121,8105 Pembrook Court,Glendale,CA,California,US,United States,91203
11139,AW00011139,Tanya,,Moreno,S,F,1938-11-09,1 (11) 500 555-0185,6155 Wilbur Drive,Cloverdale,SA,South Australia,AU,Australia,6105
11140,AW00011140,Javier,L,Alvarez,S,M,1977-02-11,763-555-0134,8935 Etcheverry Dr.,Burbank,CA,California,US,United States,91502
11141,AW00011141,Nicole,,Ramirez,M,F,1977-06-21,152-555-0162,1101 C Street,Daly City,CA,California,US,United States,94015
11142,AW00011142,Eduardo,,Patterson,S,M,1977-08-14,190-555-0184,6255 Macalvey Dr.,Langford,BC,British Columbia,CA,Canada,V9
11143,AW00011143,Jonathan,M,Henderson,M,M,1977-02-04,149-555-0113,165 East Lane Road,Lakewood,CA,California,US,United States,90712
11144,AW00011144,Edward,,Hernandez,S,M,1979-09-09,178-555-0196,7607 Pine Hollow Road,Ballard,WA,Washington,US,United States,98107
11145,AW00011145,Jasmine,L,Coleman,S,F,1979-12-08,857-555-0115,1961 Oak Grove Road,Beaverton,OR,Oregon,US,United States,97005
11146,AW00011146,Karla,L,Goel,S,F,1939-08-26,1 (11) 500 555-0137,3272 Corrie Lane,Matraville,NSW,New South Wales,AU,Australia,2036
11147,AW00011147,Ernest,L,Wu,M,M,1939-02-05,1 (11) 500 555-0139,1832 RiverRock Dr,Warrnambool,VIC,Victoria,AU,Australia,3280
11148,AW00011148,Ross,,Vazquez,M,M,1941-08-16,1 (11) 500 555-0163,1201 Paso Del Rio Way,East Brisbane,QLD,Queensland,AU,Australia,4169
11149,AW00011149,Theodore,,Gill,M,M,1941-04-20,1 (11) 500 555-0194,9120 Pinewood Court,Hervey Bay,QLD,Queensland,AU,Australia,4655
11150,AW00011150,Russell,M,Shen,S,M,1941-03-15,1 (11) 500 555-0191,4755 Easley Drive,Sunbury,VIC,Victoria,AU,Australia,3429
11151,AW00011151,Melinda,G,Gill,S,F,1942-02-25,1 (11) 500 555-0117,805 Rainier Dr.,Sydney,NSW,New South Wales,AU,Australia,1002
11152,AW00011152,James,J,Williams,S,M,1976-01-10,355-555-0153,6827 Seagull Court,Puyallup,WA,Washington,US,United States,98371
11153,AW00011153,Angela,R,James,M,F,1976-06-23,847-555-0111,8877 Weatherly Drive,Renton,WA,Washington,US,United States,98055
11154,AW00011154,Megan,G,Walker,S,F,1976-08-21,918-555-0186,6898 Holiday Hills,Woodburn,OR,Oregon,US,United States,97071
11155,AW00011155,Hunter,J,Robinson,S,M,1976-01-26,891-555-0125,8356 Mori Court,Burbank,CA,California,US,United States,91502
11156,AW00011156,Maria,,Roberts,S,F,1976-02-07,158-555-0199,9452 Mariposa Ct.,Lakewood,CA,California,US,United States,90712
11157,AW00011157,Hannah,E,Long,M,F,1975-06-11,974-555-0177,1832 Preston Ct.,Tacoma,WA,Washington,US,United States,98403
11158,AW00011158,Jason,K,Wright,S,M,1975-10-08,694-555-0176,6771 Bundros Court,San Gabriel,CA,California,US,United States,91776
11159,AW00011159,Brianna,A,Hughes,S,F,1975-09-17,319-555-0183,6793 Bonifacio St.,Woodland Hills,CA,California,US,United States,91364
11160,AW00011160,Maurice,M,Tang,S,M,1974-01-08,947-555-0172,2886 Chaparral Court,Concord,CA,California,US,United States,94519
11161,AW00011161,Emily,,Wood,S,F,1974-04-22,184-555-0114,1562 Black Walnut,Concord,CA,California,US,United States,94519
11162,AW00011162,Chase,,Cox,S,M,1974-03-05,764-555-0116,P.O. Box 8070,La Jolla,CA,California,US,United States,92806
11163,AW00011163,Gabriel,,Wang,M,M,1974-12-20,617-555-0150,8002 Crane Court,Spring Valley,CA,California,US,United States,91977
11164,AW00011164,Devin,,Brooks,S,M,1974-05-05,502-555-0138,4231 Highland Dr.,Torrance,CA,California,US,United States,90505
11165,AW00011165,Jocelyn,,Alexander,M,F,1973-07-18,354-555-0134,3376 Bank Way,Oakland,CA,California,US,United States,94611
11166,AW00011166,Ashley,,Martinez,S,F,1972-04-24,131-555-0194,6993 Whyte Park Ave.,Olympia,WA,Washington,US,United States,98501
11167,AW00011167,Jasmine,J,Barnes,S,F,1972-08-01,178-555-0156,9183 Via Del Sol,Issaquah,WA,Washington,US,United States,98027
11168,AW00011168,David,,Rodriguez,S,M,1968-05-15,730-555-0128,38 Shangri-la Rd.,Oakland,CA,California,US,United States,94611
11169,AW00011169,Bryce,,Richardson,M,M,1968-06-22,178-555-0176,1841 Blackwood Drive,Coronado,CA,California,US,United States,92118
11170,AW00011170,Carol,T,Howard,M,F,1968-02-05,845-555-0127,6281 Edward Ave,Burien,WA,Washington,US,United States,98168
11171,AW00011171,Jonathan,E,Hill,S,M,1967-10-09,134-555-0196,3731 Chinquapin Ct,Woodland Hills,CA,California,US,United States,91364
11172,AW00011172,Gabrielle,J,Adams,M,F,1967-11-21,403-555-0152,5621 Arcadia Pl.,Lynnwood,WA,Washington,US,United States,98036
11173,AW00011173,Sarah,F,Thomas,S,F,1967-09-01,868-555-0188,5636 Mt. Whitney Dr.,W. Linn,OR,Oregon,US,United States,97068
11174,AW00011174,Nicholas,,Robinson,M,M,1967-07-13,949-555-0138,1318 Lasalle Street,Los Angeles,CA,California,US,United States,90012
11175,AW00011175,Luis,,Wang,S,M,1963-03-05,418-555-0127,6943 Patterson Blvd.,Beverly Hills,CA,California,US,United States,90210
11176,AW00011176,Mason,D,Roberts,M,M,1968-01-25,539-555-0162,5753 Megan Dr.,Haney,BC,British Columbia,CA,Canada,V2W 1W2
11177,AW00011177,Jose,M,Flores,M,M,1942-07-04,157-555-0182,3991 Rambling Rose Drive,San Diego,CA,California,US,United States,92102
11178,AW00011178,Nathan,J,Johnson,M,M,1943-08-24,117-555-0182,8927 Daylight Place,Lakewood,CA,California,US,United States,90712
11179,AW00011179,Molly,E,Rodriguez,M,F,1943-06-14,135-555-0185,5556 Riverland Dr.,Beverly Hills,CA,California,US,United States,90210
11180,AW00011180,April,,Anand,M,F,1943-01-02,702-555-0144,3531 Brookview Drive,Chula Vista,CA,California,US,United States,91910
11181,AW00011181,Devin,P,Martin,M,M,1943-08-08,735-555-0197,1085 Greenbelt Way,Los Angeles,CA,California,US,United States,90012
